Date,Time,Face,Stand,Measure,Warn
2020-07-09,03:59:25,...,110,94.5723,...
2020-07-09,03:59:27,...,110,86.3526,...
2020-07-09,03:59:28,...,110,85.6274,...
2020-07-09,03:59:30,...,110,86.3496,...
2020-07-09,03:59:30,...,110,217.78,...
2020-07-09,03:59:31,...,110,87.3315,...
2020-07-09,03:59:33,...,110,90.0004,...
2020-07-09,03:59:34,...,110,83.0056,...
2020-07-09,03:59:36,...,110,81.1934,...
2020-07-09,04:12:26,...,110,70.5362,...
2020-07-09,04:12:27,...,110,79.6654,...
2020-07-09,04:12:29,...,110,71.7242,...
2020-07-09,04:12:30,...,110,65.6925,...
2020-07-09,04:12:32,...,110,70.6094,...
2020-07-09,04:12:34,...,22,68.5109,...
2020-07-09,04:12:35,...,22,71.6258,...
2020-07-09,04:12:37,...,22,67.8807,...
2020-07-09,04:12:37,...,22,165.945,...
2020-07-09,04:12:38,...,22,74.2482,...
2020-07-09,04:12:40,...,22,68.0729,...
2020-07-10,09:15:37,...,110,89.0681,...
2020-07-10,09:15:37,...,110,188.694,...
2020-07-10,09:15:39,...,110,87.8211,...
2020-07-10,09:15:39,...,110,189.721,...
2020-07-10,09:15:41,...,110,87.9609,...
2020-07-10,09:15:41,...,110,190.35,...
2020-07-10,09:15:43,...,110,88.4187,...
2020-07-10,09:15:43,...,110,189.897,...
2020-07-10,09:43:47,...,110,76.5972,...
2020-07-10,09:43:49,...,110,77.1193,...
2020-07-10,09:43:50,...,110,76.1986,...
2020-07-10,09:46:26,...,110,70.2719,...
2020-07-10,09:46:26,...,110,163.955,...
2020-07-10,09:46:28,...,110,73.1336,...
2020-07-10,09:46:28,...,110,164.505,...
2020-07-10,09:46:29,...,110,73.1091,...
2020-07-10,09:46:29,...,110,162.067,...
2020-07-10,09:47:48,...,110,64.6752,...
2020-07-10,09:47:50,...,110,68.914,...
2020-07-10,09:47:50,...,110,158.264,...
2020-07-10,09:47:50,...,110,153.616,...
2020-07-10,09:47:52,...,110,154.658,...
2020-07-10,09:47:52,...,110,65.4023,...
2020-07-10,09:48:10,...,110,157.392,...
2020-07-10,09:48:10,...,110,69.3334,...
2020-07-10,09:48:12,...,110,157.177,...
2020-07-10,09:48:12,...,110,67.3618,...
2020-07-10,09:48:13,...,110,156.181,...
2020-07-10,09:48:13,...,110,67.8941,...
2020-07-10,09:48:15,...,110,70.7775,...
2020-07-10,09:48:17,...,110,58.1363,...
2020-07-10,09:48:18,...,110,59.6755,...
2020-07-10,09:48:20,...,110,59.4981,...
2020-07-10,09:50:33,...,110,75.5743,...
2020-07-10,09:50:33,...,110,85.814,...
2020-07-10,09:50:35,...,110,74.979,...
2020-07-10,09:50:35,...,110,88.253,...
2020-07-10,09:50:37,...,110,87.4926,...
2020-07-10,09:50:47,...,110,84.9601,...
2020-07-10,09:50:47,...,110,89.7068,...
2020-07-10,09:50:49,...,110,65.2133,...
2020-07-10,09:50:49,...,110,79.331,...
2020-07-10,09:50:50,...,110,51.1004,...
2020-07-10,09:50:50,...,110,78.8372,...
2020-07-10,09:50:52,...,110,81.2398,...
2020-07-10,09:50:52,...,110,97.5523,...
2020-07-10,09:59:38,...,110,72.075,...
2020-07-10,09:59:40,...,110,72.2779,...
2020-07-10,09:59:42,...,110,78.9646,...
2020-07-10,09:59:42,...,110,166.784,...
2020-07-10,09:59:44,...,110,71.942,...
2020-07-10,09:59:46,...,110,68.957,...
2020-07-10,09:59:48,...,110,68.6125,...
2020-07-10,09:59:49,...,110,67.097,...
2020-07-10,09:59:51,...,110,68.198,...
2020-07-10,10:10:37,...,110,76.1299,...
2020-07-10,10:10:38,...,110,93.4422,...
2020-07-10,10:10:41,...,110,87.6415,...
2020-07-10,10:10:43,...,110,89.6173,...
2020-07-10,10:10:43,...,110,86.4111,...
2020-07-10,10:10:44,...,110,85.8604,...
2020-07-10,10:10:46,...,110,88.9394,...
2020-07-10,10:10:46,...,110,85.3571,...
2020-07-10,10:10:47,...,110,88.746,...
2020-07-10,10:10:47,...,110,92.1838,...
2020-07-10,10:10:49,...,110,95.5353,...
2020-07-10,10:10:49,...,110,88.6539,...
2020-07-10,10:10:50,...,110,93.1304,...
2020-07-10,10:10:50,...,110,88.8866,...
2020-07-10,10:10:52,...,110,82.5009,...
2020-07-10,10:10:52,...,110,87.1077,...
2020-07-10,10:10:54,...,110,83.3074,...
2020-07-10,10:10:54,...,110,80.6018,...
2020-07-10,11:16:55,...,110,188.311,...
2020-07-10,11:16:58,...,110,88.7044,...
2020-07-10,11:16:58,...,110,93.3664,...
2020-07-10,11:17:00,...,110,82.2485,...
2020-07-10,11:17:02,...,110,87.6622,...
2020-07-10,11:17:04,...,110,74.0956,...
2020-07-10,11:17:06,...,110,76.4075,...
2020-07-10,11:17:06,...,110,98.0571,...
2020-07-10,11:17:06,...,110,73.1147,...
2020-07-10,11:17:08,...,110,86.4974,...
2020-07-10,01:53:43,...,110,93.3776,...
2020-07-10,01:53:45,...,110,93.0117,...
2020-07-10,01:53:47,...,110,93.3274,...
2020-07-10,01:53:49,...,95,92.2683,...
2020-07-10,01:53:50,...,95,92.7464,...
2020-07-10,01:53:52,...,95,93.2263,...
2020-07-10,01:53:54,...,95,90.0276,...
2020-07-10,01:53:56,...,95,80.3377,...
2020-07-10,01:53:57,...,95,93.1894,...
2020-07-10,01:53:59,...,95,94.8261,...
2020-07-10,01:54:01,...,80,94.5279,...
2020-07-10,01:54:03,...,80,94.9326,...
2020-07-10,01:54:05,...,80,95.1875,...
2020-07-10,01:54:07,...,90,93.6762,...
2020-07-10,01:54:09,...,90,92.5814,...
2020-07-10,01:54:10,...,95,93.59,...
2020-07-10,01:54:12,...,95,93.3953,...
2020-07-10,01:54:14,...,95,93.3272,...
2020-07-10,01:54:15,...,95,94.2562,...
